0xC80,ಀ_SPACING_CANDRABINDU
0xC81,$ಁ_CANDRABINDU
0xC82,$ಂ_ANUSVARA
0xC83,$ಃ_VISARGA
0xC84,಄_SIDDHAM
0xC85,ಅ_A
0xC86,ಆ_AA
0xC87,ಇ_I
0xC88,ಈ_II
0xC89,ಉ_U
0xC8A,ಊ_UU
0xC8B,ಋ_R
0xC8C,ಌ_L
0xC8D,
0xC8E,ಎ_E
0xC8F,ಏ_EE
0xC90,ಐ_AI
0xC91,
0xC92,ಒ_O
0xC93,ಓ_OO
0xC94,ಔ_AU
0xC95,ಕ_KA
0xC96,ಖ_KHA
0xC97,ಗ_GA
0xC98,ಘ_GHA
0xC99,ಙ_NGA
0xC9A,ಚ_CA
0xC9B,ಛ_CHA
0xC9C,ಜ_JA
0xC9D,ಝ_JHA
0xC9E,ಞ_NYA
0xC9F,ಟ_TTA
0xCA0,ಠ_TTHA
0xCA1,ಡ_DDA
0xCA2,ಢ_DDHA
0xCA3,ಣ_NNA
0xCA4,ತ_TA
0xCA5,ಥ_THA
0xCA6,ದ_DA
0xCA7,ಧ_DHA
0xCA8,ನ_NA
0xCA9,
0xCAA,ಪ_PA
0xCAB,ಫ_PHA
0xCAC,ಬ_BA
0xCAD,ಭ_BHA
0xCAE,ಮ_MA
0xCAF,ಯ_YA
0xCB0,ರ_RA
0xCB1,ಱ_RRA
0xCB2,ಲ_LA
0xCB3,ಳ_LLA
0xCB4,
0xCB5,ವ_VA
0xCB6,ಶ_SHA
0xCB7,ಷ_SSA
0xCB8,ಸ_SA
0xCB9,ಹ_HA
0xCBA,
0xCBB,
0xCBC,$಼_NUKTA
0xCBD,ಽ_AVAGRAHA
0xCBE,$ಾ_AA
0xCBF,$ಿ_I
0xCC0,$ೀ_II
0xCC1,$ು_U
0xCC2,$ೂ_UU
0xCC3,$ೃ_R
0xCC4,$ೄ_RR
0xCC5,
0xCC6,$ೆ_E
0xCC7,$ೇ_EE
0xCC8,$ೈ_AI
0xCC9,
0xCCA,$ೊ_O
0xCCB,$ೋ_OO
0xCCC,$ೌ_AU
0xCCD,$್_VIRAMA
0xCCE,
0xCCF,
0xCD0,
0xCD1,
0xCD2,
0xCD3,
0xCD4,
0xCD5,$ೕ_LENGTH_MARK
0xCD6,$ೖ_AI_LENGTH_MARK
0xCD7,
0xCD8,
0xCD9,
0xCDA,
0xCDB,
0xCDC,
0xCDD,ౝ_vowelless_form_of_na
0xCDE,ೞ_FA_name_is_a_mistake_for_LLLA
0xCDF,
0xCE0,ೠ_RR
0xCE1,ೡ_LL
0xCE2,$ೢ_L
0xCE3,$ೣ_LL
0xCE4,danda
0xCE5,doubledanda
0xCE6,೦_ZERO
0xCE7,೧_ONE
0xCE8,೨_TWO
0xCE9,೩_THREE
0xCEA,೪_FOUR
0xCEB,೫_FIVE
0xCEC,೬_SIX
0xCED,೭_SEVEN
0xCEE,೮_EIGHT
0xCEF,೯_NINE
0xCF0,
0xCF1,ೱ_JIHVAMULIYA
0xCF2,ೲ_UPADHMANIYA
0xCF3,$>_COMBINING_ANUSVARA
0xCF4,
0xCF5,
0xCF6,
0xCF7,
0xCF8,
0xCF9,
0xCFA,
0xCFB,
0xCFC,
0xCFD,
0xCFE,
0xCFF,